most,least,item:1,item:2,item:3,item:4
4,3,begin editing occurred before cancel offline,prepare offline occurred before begin editing,begin editing occurred together with create,approve occurred before begin editing
2,1,begin editing occurred without prepare offline,remove document occurred before insert document,begin editing occurred together with cancel offline,cancel offline occurred before begin editing
3,4,begin editing occurred before prepare offline,withdraw occurred together with refuse,decide occurred before plan,check occurred together with begin editing
1,3,decide occurred without check,performed occurred before plan,approve occurred together with check,plan occurred without performed offline
3,2,finish preparations occurred before begin preparations,check occurred together with prepare offline,finish editing occurred before begin editing,approve occurred together with finish editing
3,1,approve occurred together with check,withdraw occurred together with refuse,begin editing occurred before prepare offline,check occurred before decide
1,2,refuse occurred together with approve,save occurred together with check,approve occurred before begin editing,begin editing occurred together with create
1,2,begin editing occurred without prepare offline,check occurred together with begin editing,create occurred together with prepare offline,begin editing occurred together with cancel offline
1,2,decide occurred without plan,refuse occurred together with check,cancel offline occurred before begin editing,save occurred together with cancel offline
4,3,performed occurred without plan,begin editing occurred before plan,begin editing occurred before cancel offline,performed occurred before plan
